DATE,USASACRMISMEI
1992-03-01,108.902347879278
1992-04-01,105.017729557661
1992-05-01,109.647343173834
1992-06-01,114.130618428576
1992-07-01,108.649581618624
1992-08-01,104.844784221425
1992-09-01,108.91565136668
1992-10-01,110.166179182543
1992-11-01,108.277083971346
1992-12-01,113.505354520644
1993-01-01,110.551980317224
1993-02-01,103.966754052841
1993-03-01,106.614148045997
1993-04-01,117.217027506024
1993-05-01,116.738101959524
1993-06-01,115.780250866522
1993-07-01,115.620609017689
1993-08-01,107.931193298874
1993-09-01,110.099661745529
1993-10-01,120.210312171653
1993-11-01,118.893266918776
1993-12-01,116.179355488606
1994-01-01,119.531834314111
1994-02-01,122.00628297103
1994-03-01,121.327805113488
1994-04-01,126.077150116286
1994-05-01,114.343474227021
1994-06-01,116.897743808357
1994-07-01,115.314628807425
1994-08-01,118.746928557346
1994-09-01,118.121664649414
1994-10-01,121.061735365432
1994-11-01,121.420929525307
1994-12-01,120.396560995292
1995-01-01,111.908936032309
1995-02-01,112.321344141796
1995-03-01,115.820161328731
1995-04-01,108.450029307582
1995-05-01,113.212677797783
1995-06-01,117.310151917844
1995-07-01,111.376796536197
1995-08-01,119.611655238527
1995-09-01,117.389972842261
1995-10-01,113.053035948949
1995-11-01,115.820161328731
1995-12-01,119.86442149918
1996-01-01,107.013252668081
1996-02-01,114.649454437285
1996-03-01,120.103884272431
1996-04-01,115.061862546771
1996-05-01,120.463078432306
1996-06-01,112.893394100116
1996-07-01,110.605194266835
1996-08-01,112.733752251282
1996-09-01,113.837941705714
1996-10-01,107.425660777567
1996-11-01,110.24600010696
1996-12-01,108.516546744596
1997-01-01,115.221504395605
1997-02-01,110.086358258126
1997-03-01,112.188309267768
1997-04-01,106.6274515334
1997-05-01,106.095312037288
1997-06-01,103.394704094521
1997-07-01,111.044209351127
1997-08-01,113.86454868052
1997-09-01,105.470048129356
1997-10-01,106.813700357039
1997-11-01,106.481113171969
1997-12-01,114.689364899493
1998-01-01,99.150891613029
1998-02-01,104.565410985966
1998-03-01,105.39022720494
1998-04-01,107.744944475234
1998-05-01,114.130618428576
1998-06-01,111.696080233864
1998-07-01,96.9159057293595
1998-08-01,100.481240353308
1998-09-01,110.405641955793
1998-10-01,115.886678765745
1998-11-01,105.243888843509
1998-12-01,119.106122717221
1999-01-01,107.266018928734
1999-02-01,113.345712671811
1999-03-01,111.682776746462
1999-04-01,113.119553385963
1999-05-01,116.565156623287
1999-06-01,114.888917210535
1999-07-01,116.990868220177
1999-08-01,117.842291413956
1999-09-01,113.744817293895
1999-10-01,116.884440320954
1999-11-01,117.256937968233
1999-12-01,119.38549595268
2000-01-01,123.802253770408
2000-02-01,127.261160495134
2000-03-01,119.345585490471
2000-04-01,118.440948347081
2000-05-01,118.095057674609
2000-06-01,116.445425236662
2000-07-01,114.356777714423
2000-08-01,114.370081201826
2000-09-01,119.092819229818
2000-10-01,114.343474227021
2000-11-01,109.540915274612
2000-12-01,106.188436449107
2001-01-01,115.860071790939
2001-02-01,118.121664649414
2001-03-01,109.91341292189
2001-04-01,110.538676829821
2001-05-01,110.472159392807
2001-06-01,110.751532628266
2001-07-01,104.565410985966
2001-08-01,102.91577854802
2001-09-01,102.955689010228
2001-10-01,138.076895753606
2001-11-01,110.937781451905
2001-12-01,98.2063440074306
2002-01-01,101.731768169171
2002-02-01,106.44120270976
2002-03-01,107.305929390942
2002-04-01,112.135095318157
2002-05-01,104.099788926869
2002-06-01,106.853610819247
2002-07-01,114.383384689229
2002-08-01,113.558568470256
2002-09-01,105.203978381301
2002-10-01,100.374812454086
2002-11-01,104.339251700119
2002-12-01,107.478874727179
2003-01-01,107.226108466525
2003-02-01,99.0311602264039
2003-03-01,100.77391707617
2003-04-01,98.3393788814585
2003-05-01,96.5168011072756
2003-06-01,101.572126320338
2003-07-01,100.614275227336
2003-08-01,103.847022666216
2003-09-01,100.827131025781
2003-10-01,95.7451988379136
2003-11-01,103.035509934645
2003-12-01,98.6453590917228
2004-01-01,93.7496757274944
2004-02-01,100.734006613962
2004-03-01,102.463459976325
2004-04-01,96.8227813175399
2004-05-01,104.592017960772
2004-06-01,96.1975174096086
2004-07-01,98.1664335452222
2004-08-01,96.3970697206505
2004-09-01,97.9402742593747
2004-10-01,100.813827538378
2004-11-01,100.20186711785
2004-12-01,106.427899222358
2005-01-01,99.0976776634178
2005-02-01,100.600971739934
2005-03-01,103.24836573309
2005-04-01,105.62968997819
2005-05-01,99.9491008571967
2005-06-01,99.8027624957659
2005-07-01,106.667361995608
2005-08-01,103.700684304785
2005-09-01,105.669600440398
2005-10-01,98.3659858562641
2005-11-01,101.292753084879
2005-12-01,98.9247323271815
2006-01-01,114.729275361702
2006-02-01,100.920255437601
2006-03-01,99.0444637138066
2006-04-01,105.563172541176
2006-05-01,101.545519345532
2006-06-01,100.973469387212
2006-07-01,107.705034013026
2006-08-01,102.436853001519
2006-09-01,102.01114140463
2006-10-01,99.7229415713492
2006-11-01,98.7783939657508
2006-12-01,105.616386490787
2007-01-01,102.729529724381
2007-02-01,101.58542980774
2007-03-01,99.7229415713492
2007-04-01,98.9912497641955
2007-05-01,104.445679599341
2007-06-01,100.055528756419
2007-07-01,95.9181441741499
2007-08-01,97.3017068640406
2007-09-01,100.068832243822
2007-10-01,100.10874270603
2007-11-01,105.177371406495
2007-12-01,101.146414723448
2008-01-01,98.7118765287368
2008-02-01,96.3571592584421
2008-03-01,96.9026022419567
2008-04-01,97.4613487128741
2008-05-01,105.86915275144
2008-06-01,102.862564598409
2008-07-01,93.4303920298273
2008-08-01,91.7275456422696
2008-09-01,84.956070554247
2008-10-01,75.7500572715131
2008-11-01,68.1404624771145
2008-12-01,68.4863531495872
2009-01-01,60.8368478929802
2009-02-01,59.426678228284
2009-03-01,63.8700430208174
2009-04-01,61.7946989859814
2009-05-01,66.038511467473
2009-06-01,68.6726019732263
2009-07-01,83.0669753430502
2009-08-01,109.155114139931
2009-09-01,66.6105614257931
2009-10-01,71.931956386911
2009-11-01,73.7545341610939
2009-12-01,77.1602269362094
2010-01-01,72.064991260939
2010-02-01,67.8078752920446
2010-03-01,74.9252410525398
2010-04-01,72.9563249169262
2010-05-01,76.149161893597
2010-06-01,74.9651515147482
2010-07-01,76.3354107172361
2010-08-01,76.9739781125702
2010-09-01,76.6147839526948
2010-10-01,76.6813013897087
2010-11-01,75.3509526494293
2010-12-01,78.8630733237671
2011-01-01,77.1578729626133
2011-02-01,83.0350329834451
2011-03-01,87.1199439080993
2011-04-01,86.6371470125604
2011-05-01,78.3009952773818
2011-06-01,75.466767420003
2011-07-01,76.8346601938632
2011-08-01,76.2261906432793
2011-09-01,79.3972237499506
2011-10-01,84.8940052522999
2011-11-01,84.054512567932
2011-12-01,83.5876307780999
2012-01-01,94.1067193358914
2012-02-01,102.250813050338
2012-03-01,97.6944713509302
2012-04-01,97.4449840281712
2012-05-01,92.8938442657669
2012-06-01,91.8205232883991
2012-07-01,92.0060739623662
2012-08-01,93.1812024604891
2012-09-01,98.1554345919067
2012-10-01,96.6543535695379
2012-11-01,100.427895328799
2012-12-01,100.096587193713
2013-01-01,104.092157915973
2013-02-01,103.237898800695
2013-03-01,99.5995876555521
2013-04-01,99.4802646255661
2013-05-01,98.9701029591179
2013-06-01,101.632408087075
2013-07-01,101.949969288091
2013-08-01,101.283511313368
2013-09-01,101.126266590736
2013-10-01,99.1592826024824
2013-11-01,100.910685610242
2013-12-01,99.6542501798224
2014-01-01,95.7810583247166
2014-02-01,96.4903037669328
2014-03-01,102.289314908317
2014-04-01,100.767338216931
2014-05-01,103.937293500389
2014-06-01,108.627584312972
2014-07-01,105.477947900144
2014-08-01,107.323739582174
2014-09-01,101.455891096822
2014-10-01,101.934041992839
2014-11-01,101.581725894472
2014-12-01,104.853131312192
2015-01-01,98.3354641631113
2015-02-01,95.7488858929904
2015-03-01,102.987025908284
2015-04-01,99.9578451022343
2015-05-01,103.13643309013
2015-06-01,102.029463979379
2015-07-01,102.644417319765
2015-08-01,102.778119713063
2015-09-01,100.153367216625
2015-10-01,99.8175829626601
2015-11-01,97.9914338809621
2015-12-01,94.4199607707968
2016-01-01,95.7142449326496
2016-02-01,95.2277057571613
2016-03-01,91.3093773536582
2016-04-01,90.9454500485606
2016-05-01,91.7185154866636
2016-06-01,91.1957675343902
2016-07-01,91.7504495583521
2016-08-01,90.3430710105106
2016-09-01,92.2041694838506
2016-10-01,87.6190599526769
2016-11-01,88.7033871875562
2016-12-01,90.4439657858358
2017-01-01,83.525321130841
2017-02-01,83.2704866646498
2017-03-01,81.2931883024799
2017-04-01,82.7861135952355
2017-05-01,80.611772549484
2017-06-01,78.0997866475838
2017-07-01,79.495500969418
2017-08-01,79.1897242612073
2017-09-01,84.9425945762026
2017-10-01,81.5679416812753
2017-11-01,79.9308606160222
2017-12-01,76.0606500280484
2018-01-01,72.9175914271115
